Age,N,E,U,UN,UE,NU,NE,EU,EN,EE,Wage,Tax,Equilibrium
23,0.0008779936938120579,0.0005897833394024207,8.353042131572755e-05,0.14088288128420687,0.26128746031892663,0.023910747481032887,0.07288061880692981,0.02283118264622534,0.10748045278946285,0.04568020143731482,0.4641791869271255,0.1,General
24,0.0007582581878490823,0.0006944138283810256,9.724183563673094e-05,0.1387158295970573,0.24282123346317397,0.030674414485931643,0.0741986609628507,0.019247088838219316,0.08414589354371503,0.03856873952546505,0.49835303597379516,0.1,General
25,0.0006804296658443954,0.0007818542942673338,8.612894948762757e-05,0.1376971056930756,0.25952383264754314,0.0277513127060238,0.08118384317027814,0.017940546857098134,0.07312235511381598,0.03534074510321167,0.5249931373925304,0.1,General
26,0.0006018424112781944,0.0008523883300351412,9.25657322556742e-05,0.12644795061342665,0.25467068513871255,0.03703559956210399,0.08287643037378194,0.01684164059904573,0.062398644461629654,0.03311287422800199,0.5484368440135986,0.1,General
27,0.0005356264466141585,0.0009161095114566441,9.331983032480685e-05,0.12912564509198013,0.2488776325803834,0.036862313925786185,0.08303344590570254,0.016436208159149552,0.05256746634429386,0.031154605142819064,0.5690185430914572,0.1,General
28,0.0004885636919144551,0.0009697942002768641,8.482356412082301e-05,0.12308699395181481,0.26303512208931734,0.03780596852796023,0.08882579973404171,0.015453723035019842,0.047452734626432645,0.029633992762586648,0.589167873862954,0.1,General
29,0.00042425012275065874,0.0010231695442460555,9.374372673560819e-05,0.11797789055872344,0.25544407760628,0.04444507500769975,0.09098441526084516,0.015265372075938347,0.04165526010264221,0.028709653242855623,0.6064069164704445,0.1,General
30,0.00038439204518570376,0.001066578974688651,8.8019764823444e-05,0.11835942721507157,0.2552231638409767,0.04351347938074645,0.09143623269887396,0.014647142466360395,0.03656415740790276,0.027329658824089664,0.6246054775688076,0.1,General
31,0.0003592425137508195,0.0010949376761522965,8.247184282393027e-05,0.11858865943426007,0.2555373673153966,0.04232115452972574,0.09095809402704469,0.013910459378298212,0.03330957271498964,0.02591524778622446,0.6456868860646648,0.1,General
32,0.00032090401529970904,0.0011270651104214717,8.616558437744396e-05,0.10565432144403682,0.2593363152483425,0.05131264775703692,0.09375764393086951,0.013589770422107078,0.029833457338137956,0.02541697037612596,0.6625120812379416,0.1,General
